otus	phylum
OTU_2	p:Firmicutes
OTU_1	p:Firmicutes
OTU_3	p:Firmicutes
OTU_4	unknown
OTU_5	p:Firmicutes
OTU_7	p:Firmicutes
OTU_6	p:Firmicutes
OTU_8	p:Firmicutes
OTU_9	"p:""Bacteroidetes"""
OTU_10	p:Firmicutes
OTU_11	"p:""Tenericutes"""
OTU_12	p:Firmicutes
OTU_15	"p:""Bacteroidetes"""
OTU_13	p:Firmicutes
OTU_14	p:Firmicutes
OTU_16	p:Firmicutes
OTU_18	unknown
OTU_17	unknown
OTU_19	unknown
OTU_20	"p:""Spirochaetes"""
OTU_23	"p:""Spirochaetes"""
OTU_21	p:Firmicutes
OTU_22	p:Firmicutes
OTU_24	unknown
OTU_25	p:Firmicutes
OTU_26	p:Firmicutes
OTU_27	p:Firmicutes
OTU_28	"p:""Bacteroidetes"""
OTU_29	unknown
OTU_30	p:Firmicutes
OTU_31	p:Firmicutes
OTU_32	p:Firmicutes
OTU_33	p:Firmicutes
OTU_34	p:Firmicutes
OTU_35	unknown
OTU_37	p:Firmicutes
OTU_36	unknown
OTU_39	unknown
OTU_38	p:Firmicutes
OTU_40	p:Firmicutes
OTU_41	unknown
OTU_43	unknown
OTU_42	unknown
OTU_44	p:Firmicutes
OTU_46	"p:""Bacteroidetes"""
OTU_45	p:Firmicutes
OTU_47	p:Firmicutes
OTU_48	unknown
OTU_49	p:Firmicutes
OTU_50	"p:""Bacteroidetes"""
OTU_51	p:Firmicutes
OTU_53	Other
OTU_52	p:Firmicutes
OTU_54	p:Firmicutes
OTU_55	p:Firmicutes
OTU_56	"p:""Spirochaetes"""
OTU_57	"p:""Bacteroidetes"""
OTU_58	unknown
OTU_59	Other
OTU_60	"p:""Proteobacteria"""
OTU_61	p:Firmicutes
OTU_62	p:Firmicutes
OTU_63	p:Firmicutes
OTU_64	p:Firmicutes
OTU_65	p:Firmicutes
OTU_66	p:Firmicutes
OTU_67	p:Firmicutes
OTU_68	unknown
OTU_69	p:Firmicutes
OTU_70	unknown
OTU_71	unknown
OTU_72	"p:""Bacteroidetes"""
OTU_74	"p:""Bacteroidetes"""
OTU_73	p:Firmicutes
OTU_75	"p:""Spirochaetes"""
OTU_76	p:Firmicutes
OTU_77	unknown
OTU_79	"p:""Bacteroidetes"""
OTU_78	unknown
OTU_80	p:Firmicutes
OTU_82	"p:""Bacteroidetes"""
OTU_81	"p:""Proteobacteria"""
OTU_84	p:Firmicutes
OTU_83	p:Firmicutes
OTU_86	"p:""Spirochaetes"""
OTU_85	p:Firmicutes
OTU_88	"p:""Bacteroidetes"""
OTU_87	p:Firmicutes
OTU_89	"p:""Spirochaetes"""
OTU_90	"p:""Bacteroidetes"""
OTU_91	p:Firmicutes
OTU_94	unknown
OTU_92	p:Firmicutes
OTU_93	unknown
OTU_95	"p:""Bacteroidetes"""
OTU_97	unknown
OTU_98	p:Firmicutes
OTU_96	p:Firmicutes
OTU_99	"p:""Proteobacteria"""
OTU_103	"p:""Bacteroidetes"""
OTU_100	"p:""Proteobacteria"""
OTU_102	p:Firmicutes
OTU_101	unknown
OTU_104	unknown
OTU_107	"p:""Bacteroidetes"""
OTU_106	p:Firmicutes
OTU_105	p:Firmicutes
OTU_109	"p:""Bacteroidetes"""
OTU_108	"p:""Proteobacteria"""
OTU_110	"p:""Spirochaetes"""
OTU_111	unknown
OTU_112	p:Firmicutes
OTU_113	p:Firmicutes
OTU_115	p:Firmicutes
OTU_114	p:Firmicutes
OTU_116	"p:""Bacteroidetes"""
OTU_117	p:Firmicutes
OTU_119	"p:""Bacteroidetes"""
OTU_118	p:Firmicutes
OTU_120	p:Firmicutes
OTU_121	"p:""Bacteroidetes"""
OTU_122	p:Firmicutes
OTU_123	p:Firmicutes
OTU_124	p:Firmicutes
OTU_125	"p:""Tenericutes"""
OTU_126	unknown
OTU_127	unknown
OTU_128	p:Firmicutes
OTU_129	p:Firmicutes
OTU_130	"p:""Bacteroidetes"""
OTU_133	p:Firmicutes
OTU_132	p:Firmicutes
OTU_131	p:Firmicutes
OTU_134	p:Firmicutes
OTU_135	p:Firmicutes
OTU_137	p:Firmicutes
OTU_136	unknown
OTU_138	p:Firmicutes
OTU_139	unknown
OTU_141	p:Firmicutes
OTU_140	unknown
OTU_142	unknown
